Temperature (°C),Dissolved Oxygen (mg/L),PH,Hardness (ppm),Humidity (%),Density (fish/L),Nitrogen Load (mg/L),Substrate,Noise Level,Light-Dark Cycle,Water Flow,ECI
27.554507653987724,6.86802018790413,7.5684848850856055,119.76367585163906,34.90171013289789,6.949560564840333,48.02136939230728,sand,high,12/12,medium,45
26.00931073098973,5.6272570142550515,6.990345688413803,46.60894185018312,40.44862490053453,2.3140390963226634,19.813522234233726,glass,low,14/10,medium,60
27.897106021921083,5.855633696172084,7.067320032571919,139.51270244388792,48.1399892282201,4.45723656616836,56.45614129945264,sand,high,12/12,low,40
27.437236845235663,7.206937456981751,7.301380828400877,129.99100364026415,37.15107737902155,4.59995008237851,69.0746600422659,sand,medium,12/12,medium,60
28.345012855305743,6.921849265230104,6.408608077063276,127.78215318851107,56.49115850654005,3.8620780859134,52.490020239854495,gravel,low,14/10,medium,55
25.817754990110483,7.564542765293347,7.567755967873603,99.3986716669449,43.62149734936434,3.691163642879105,31.33202171444319,sand,high,14/10,high,65
24.793475641178723,5.245273521969607,7.521219591357159,77.9740631267521,51.20860885686184,4.61214569508291,31.1710820842022,sand,medium,14/10,medium,50
26.375655146545565,5.4686923519573325,7.410058621874125,97.32143955961382,35.503378194237484,2.2375213879140476,44.550095174951494,sand,medium,14/10,high,70
26.82122308060594,6.252462809972941,6.81991262774706,116.86563241231093,60.15985386931598,2.7665265868767204,53.435061660107074,glass,low,12/12,medium,60
25.282215809730612,6.220996239212023,7.563696507483776,137.81993988049754,39.60329978694347,4.288953451353202,48.53879057466164,sand,low,12/12,medium,70
25.85069939602418,7.91574906700996,6.610008005884765,92.59168246465914,52.2980904245157,5.060554470587565,65.71895007110498,gravel,high,12/12,high,20
26.122610934601358,5.9997084987281895,6.242394398936089,150.64368654594614,51.781896330042755,4.503771716296781,19.07043347637441,sand,low,10/14,low,40
27.13352341059574,5.881489835109068,6.868506486469998,137.15953482907503,42.83274756737181,6.122767622292399,20.320767029821003,gravel,high,10/14,low,35
26.555660494290226,5.839883020957835,7.394774506995613,152.48758136049088,57.76304441610067,6.274751756906751,63.07566695987228,sand,medium,14/10,medium,25
26.32881373280311,6.872722937810428,7.6044328467921165,123.6373896466223,62.33286050674984,4.900928794927665,44.90394358976505,gravel,high,14/10,medium,70
26.80668034357712,5.692952228436987,8.088498118171158,43.53920481142104,54.01509093042339,6.73299974735414,45.928956450463296,gravel,medium,10/14,medium,30
24.437482555924298,7.433615743006084,7.648831689867013,103.94070064606198,45.88182823078807,6.621578384083813,61.16496290655905,glass,low,10/14,high,5
26.43158207898605,5.029488959613024,6.6243204894391345,70.08508393989666,65.0118195127889,3.4686471527111316,38.36860949109388,sand,high,12/12,high,50
26.707610279797127,4.9102217839352935,7.255542245509759,124.31430520162611,57.53113607983904,4.58598603732014,64.34855139708132,glass,medium,14/10,medium,35
27.939715257004007,6.035471099355139,6.583914100413199,152.71068326860518,39.05834542948607,3.3253765663397936,65.09297786407261,sand,high,12/12,low,15
26.488792483663143,6.18891702651996,7.517580586771202,63.453993260015515,46.858600070516715,6.121986057548153,38.48689907485013,gravel,medium,10/14,medium,65
28.138832678327002,7.034989669098448,7.1538263325362275,65.11907670484239,58.458699623101296,5.577833790247871,20.437587811641905,gravel,low,10/14,high,75
28.629156625238224,6.937851329052533,7.329163714821452,133.59698147717984,63.210200963008276,6.56426984837821,34.56062370320338,sand,low,14/10,low,55
26.685654494489498,8.236226862999727,6.783238626950573,99.81912186980314,50.074489985257074,3.453789157433925,38.23177153215215,gravel,high,10/14,high,70
26.431749490298536,7.926871444041417,7.373567176981295,88.38210403447175,43.27309473772943,5.346400636782308,24.710433066962853,gravel,medium,10/14,high,85
25.84629279513523,6.40942881127276,7.993215658231058,152.16198768592162,46.716152466137814,2.3269441137558093,40.715710505953275,gravel,medium,12/12,high,45
28.322420167418468,6.16452502506607,6.7423596171839515,162.36288091275708,65.20449565362944,2.6263108754309865,23.292451073701248,gravel,high,12/12,low,25
27.43488990221036,5.505746289442265,7.425094799971826,138.07805275651748,37.06767931889761,3.603399763769799,25.339388908157193,sand,high,14/10,high,65
26.960681007873784,6.5290227189414916,7.3655107885663345,67.0023230754782,57.880721731284375,5.625441144122207,21.423475068979503,sand,medium,12/12,medium,85
25.807002974137585,5.456471874759468,7.332099168129411,86.13733459044145,46.29685430187611,4.708879503056104,25.75838100712878,glass,high,14/10,low,45
28.806981892180556,6.373197497207041,6.648146302169687,78.7057526001676,57.8901389807955,5.304874620293007,63.489914646865614,sand,high,12/12,high,20
25.986299100721993,7.268556364739739,8.023771222333565,143.01511190253663,59.41134638458421,4.115267828075391,49.78746641613531,glass,high,14/10,high,50
27.73687786379897,6.741547685621315,6.758412784680771,110.06684061208615,49.08002268378888,6.493587604424118,19.78223183739527,sand,low,10/14,low,55
28.724537231821326,5.879728795764296,7.561266762070618,102.80326627777417,39.697702149080094,6.0759846487727724,15.086228809238113,glass,high,14/10,high,20
29.15342659106343,7.350499625397805,7.348827409701617,53.62263057095671,60.471083280711696,5.01604779403179,66.76347960993417,gravel,medium,12/12,low,15
28.875483986757736,6.463123140116539,7.2067326808659935,59.780881164206924,47.157883030126044,2.6333304667009143,61.45813804858752,sand,high,10/14,medium,30
29.309336628825385,6.56665493405348,7.698461774720402,57.37500848822744,53.022345313990634,3.499983981589938,33.89031816938397,sand,medium,10/14,high,60
27.27597943332974,7.3466151415364465,8.492745348036008,79.16492968686178,48.95572597750791,5.680078975520605,38.408218643365,sand,low,10/14,low,55
26.62416861811093,5.142341926563733,7.472910130760968,123.36922495405257,42.5174287323949,7.294349725932955,28.534924308965653,glass,high,10/14,high,40
29.488225411876908,5.330510731448264,7.519303310326173,86.59846003031585,51.10793621025037,3.336115498370717,61.07658726285039,glass,low,10/14,high,10
26.012604586362023,6.050259810922545,6.838813500959388,51.70418681767948,51.848036305776155,4.20563792462989,40.341046240380706,sand,high,10/14,high,80
25.328877668479265,5.434808269335139,7.522868585560973,103.31571639554268,41.96856264790082,2.8477445257634444,20.62207257454863,glass,medium,10/14,medium,45
27.663939720673312,6.87839047059294,7.096929901884431,74.50314333427082,38.10994497009119,6.5396094200963875,30.390295916361758,glass,low,14/10,low,60
28.45139270377322,5.228030514227962,7.516766635980212,43.7725444813969,63.49188923074994,4.4859764492729415,64.67460163869436,glass,high,14/10,high,0
28.04225960305566,5.023959274288431,7.333058354368289,102.27460216613987,53.319603171953986,5.145399711315109,66.58426900434482,gravel,low,12/12,low,20
29.001512151140144,5.793173633352841,7.103034458505366,81.91057266367301,38.90892370044144,5.951549846244882,60.00628368705309,sand,high,12/12,high,0
26.701577237584576,5.002454246243672,7.997062689299418,42.4305737861361,39.66904325768195,5.2824679733486315,66.23871414823272,sand,medium,12/12,high,5
26.050038914660668,7.3232139823082765,7.921464745675148,129.291814946392,56.221461676184354,5.5995864790733645,64.05149798503317,sand,low,14/10,high,40
24.501297094670186,7.348151489383062,7.750242718533329,163.73221400112166,36.24327318716158,4.247193672545552,36.46770885491409,gravel,high,10/14,medium,30
24.831840507974718,7.079371554378699,7.734405875536546,78.51605751996622,48.4609413865822,6.438345607086772,13.291385706258735,glass,high,14/10,low,15
27.958756629135355,6.3792136094458955,7.080712534751645,108.71725878096169,38.69822785617429,4.941365889681477,32.94416230441412,sand,high,12/12,low,65
27.99457018424776,5.737192937490109,6.741618810883354,125.18414623017914,50.57609208339791,4.051672593662127,43.25423265351987,glass,high,10/14,medium,50
28.26265359259577,6.682182172638645,6.9462673107003035,164.63233144285334,64.83612608708266,3.2971764120183202,22.06703521764806,sand,low,14/10,low,65
28.10719902533296,6.96552125746997,7.637316438211284,163.414231732485,56.65785128648012,3.835173871376789,51.47621814728649,gravel,medium,12/12,high,50
24.37068138687063,7.057562869016059,7.198903773043966,126.11687372176173,47.94193858006859,4.654932840700754,52.80804457284919,sand,high,14/10,low,35
27.39919163744962,6.839876458835372,7.078761587523448,150.09308084314188,60.90241451108837,5.317951976550272,60.329025978072565,glass,high,14/10,medium,25
28.4039113850261,4.837538453504839,7.052962817726855,83.36741462368855,44.98433905703535,4.102885468911577,60.78607471544882,gravel,low,12/12,medium,25
28.383911438221887,7.118389432512886,7.13039385902091,50.002869445750406,40.11008407931586,3.2175539336021672,21.298470765796363,glass,low,14/10,low,75
24.884359077421376,6.062201977490025,7.3133215322332115,136.72649289367874,37.20075986880982,3.0612392887350737,42.626104543670635,glass,high,12/12,medium,45
26.550006163511068,7.89849818681075,7.624646914102593,157.91995788818977,54.37889250268845,3.399854379580853,27.987373591044065,glass,low,14/10,medium,75
25.97288513645465,7.425449578007847,6.761437970699021,67.48218358676594,49.98180968235054,3.94537629782097,43.62148675453224,glass,high,12/12,high,55
25.450521485608565,7.651895240960555,7.055862103447431,153.56482230886522,58.47584489462783,5.231062679296602,38.58576705359586,sand,high,10/14,high,50
28.676733882035663,6.238899287071357,7.503960742178463,83.91778866738727,56.3291076919812,5.464192611246849,52.753085925522605,gravel,high,10/14,medium,35
29.388990765183085,5.39892418155508,8.070074312219816,117.01893334048982,46.01334746210164,7.41027190627049,58.25249592029004,sand,high,14/10,high,0
26.695289348719424,6.909998355800498,7.041021166710133,91.84663294480153,43.256121982445656,4.7382816184467,25.64578219428753,sand,high,10/14,high,80
28.329812017319814,6.25507218187501,7.145563944849875,86.84725020302892,41.84977123868576,3.2672818618241335,13.728326532768737,sand,high,12/12,high,70
28.674249769550904,5.590223175973495,7.963678343595884,122.14541709588048,50.52514137343643,5.843770785098595,19.34397437241251,sand,high,14/10,medium,30
28.745783417242244,5.67911167051374,6.7439174637949835,106.84001589847657,44.599945342774035,3.4588984239160725,14.032605347786852,glass,high,14/10,medium,45
26.072153382492182,7.84948120538315,7.931386029962835,132.84624842073623,41.4691041688838,2.7302601743893353,15.604317918224723,sand,low,10/14,medium,65
24.83072032912402,7.038533727756476,6.128312073345703,112.08509004407988,44.06397432223358,6.528680915905342,52.57449189502219,glass,low,10/14,medium,10
26.718906045310174,4.964039204617979,7.926405521211554,50.59892301898414,54.62477104968462,5.299182656304398,30.133916123646532,sand,low,10/14,high,35
26.305068185258317,7.268160328387275,7.914790621801028,142.5881235292959,51.238768820221445,7.144837400930521,51.561166072326685,sand,medium,10/14,medium,40
24.590998076646976,5.397893285115374,6.7556267987646095,134.1486423750572,45.371791861415545,4.489086544237099,50.34004929004401,gravel,low,12/12,high,30
25.61567631802382,6.594777427928759,6.783961388095516,52.676559819934845,46.75463653365599,2.1638448763299447,46.89786557520428,glass,medium,12/12,high,60
24.693382960491515,5.650975316007993,7.654904801530141,58.418338776801484,63.62051744219325,5.86816229374075,26.190292918797333,gravel,high,14/10,low,10
26.141047107913433,5.0046517567571005,8.369149487455962,151.56597245823045,59.094715542147036,5.497362776443794,13.835789494365963,glass,high,10/14,medium,20
28.841105929886165,6.840529239693341,7.358351801724353,97.76691296814217,56.08399174266285,3.0099183014756457,14.634616159574755,gravel,medium,10/14,low,75
27.916330740628894,6.378037696040443,7.240456385143458,127.84095234618279,36.641145750235026,5.057492097742793,54.46401513190371,gravel,low,14/10,medium,70
25.433078321470116,6.502353130170458,6.413344195061585,150.1860271950507,45.810002778908185,6.1716081698759675,55.63783104419963,glass,medium,10/14,high,15
25.724237011051304,5.288460525099437,6.668858772051948,126.47049843698221,41.87652924807982,5.052348503603098,39.05114450575163,glass,medium,10/14,high,45
28.35145212200502,6.219693698196622,7.473028607284014,82.6197487282407,62.778224523746246,2.4604327397446273,40.97716015443498,sand,medium,12/12,low,60
24.488258373583832,7.559407960423169,7.761298643376515,91.091649770489,42.10608467751019,3.873944705576626,63.83824759724766,glass,high,14/10,medium,15
23.70609116422099,6.0693657353035055,7.470226239263259,158.36290077228176,52.33699115301565,5.4138116170781885,39.64240149005622,gravel,low,10/14,low,40
28.36094940701685,7.5507786068044975,7.112490957612183,140.54122645034124,42.869299587346035,3.1967850967064844,64.77695782358765,glass,medium,14/10,medium,55
28.63997609691304,5.470336367081438,5.864773184895782,61.29560278229297,40.02330140925805,3.0430902801604773,28.274846521449422,sand,medium,12/12,high,50
26.2203540159563,6.292954286432937,7.277480978997303,121.02563243381836,50.641573530460285,6.907216193096849,37.30608808977941,sand,medium,10/14,high,75
27.375494173114774,6.493649542941284,6.8072658844481,71.22600691162984,54.385285776663224,5.368571020412424,14.609040174735386,glass,high,12/12,medium,65
27.36900665180152,7.088203612429831,6.489836723495286,41.323529192164784,37.426439142042724,5.37141092773829,16.574070481965723,sand,low,10/14,low,40
26.025742276550375,6.813893016584792,6.706439114876932,98.97520805575259,58.336144026914035,3.159504768908734,64.31483987861061,gravel,low,10/14,low,45
27.99093381927332,8.250005013032297,7.373416952781715,94.17588392093184,54.10276544794393,2.982469811633198,59.434252467024066,glass,high,14/10,high,55
26.362020585080522,5.423743677700665,7.143532932308018,150.73115713259764,49.57140765535291,3.6912920703417296,60.703967339828104,sand,medium,14/10,medium,45
26.54366969277346,7.3122331453730665,7.289856786290502,138.44808212266184,51.37750843025263,4.6058456353825274,64.76115038874858,gravel,low,10/14,high,65
29.667119291426456,8.089771475899429,7.827525278502784,120.10321173099507,46.146887635370746,4.213234779319953,12.363806633402149,glass,low,10/14,low,35
26.064664110028296,7.651663594980413,7.069091756211299,145.66104155936452,60.88375739667576,6.419582345698685,63.739930667313054,gravel,low,14/10,high,45
28.881925170208106,7.207652641802517,7.863155336429859,58.33241909853212,54.33462054505482,5.331122708057642,25.06379878792159,sand,low,10/14,low,45
27.302476369040654,7.292690410336153,7.126905677633645,122.05929656557981,56.0794306627029,2.297706651178914,44.073700836813835,gravel,low,14/10,high,90
26.649456677285958,5.918147432955424,6.340983212864637,132.45539607691765,49.6765016644635,4.472826707743731,57.273590769215026,gravel,low,10/14,low,35
26.646124708658693,7.174104770375573,7.670605664970804,136.33784127276937,37.28988645063038,6.169740324291602,49.88496940122862,glass,medium,12/12,low,45
26.55551850319609,5.516407361535563,6.548949694640252,117.83354519788973,68.52611533764379,4.343763608724015,41.49493351822252,glass,medium,12/12,low,50
27.357208976600614,5.8737874925655245,7.0794528160717,78.0578508742399,52.89224957844614,4.669459445455463,46.45813115385165,sand,medium,10/14,medium,80
25.001630469470037,7.602767021191045,6.559470107292939,167.33795765407402,41.02498947017409,3.0367575317101885,61.32887895241344,glass,high,14/10,low,10
26.476038378337588,6.612832848630238,7.297241642774109,115.51575816312497,58.3480540151662,4.0321720259644005,20.374981039107734,gravel,high,10/14,low,70
26.569416691806275,5.656486286529191,7.8912136892113995,102.43191015841732,46.29107704521199,4.187104105080744,52.48479199423985,sand,low,14/10,medium,50
27.73672685932165,5.15191188865401,7.1958347910356535,83.43955541832113,40.61460072559224,3.0393422523803517,61.7593792388239,gravel,low,14/10,low,45
26.237501780845133,6.0476359506032695,7.924664545379486,150.77089005490902,48.903029479721674,3.099069813543361,35.13818730018488,gravel,high,12/12,low,40
25.66644177437022,7.906513500854569,6.4175242938342825,148.92773311796122,60.87891545210202,6.961495483174636,57.07590970704524,gravel,medium,14/10,high,30
24.994471484518332,7.411604966654825,7.118427228295294,142.96950806037597,36.193353935146554,7.229024484537102,36.070625864964725,sand,high,10/14,medium,30
26.60272085128547,5.022569732469752,7.3149372504588195,145.7349600332039,44.47443757001752,2.987492609975323,26.007274115997603,sand,low,12/12,medium,70
26.333606755024,5.829753812763816,7.0582828179844395,115.74506813499352,54.85009933006375,3.8386384221250367,45.195394471175106,gravel,high,10/14,high,65
29.26500928707914,7.268362993404664,7.314863409800973,119.9602953015743,38.58371635398441,4.204957752361445,26.359952348129372,gravel,low,12/12,medium,65
25.927877560936615,7.136272515848512,7.492507818171083,95.64908137378941,35.39494447936235,2.817598784433309,30.448996464342667,gravel,high,14/10,high,60
27.445812674468723,6.671918302049387,6.646163340853274,167.42535878696984,41.76345140320777,4.109737984357059,23.424286241923628,gravel,medium,14/10,medium,80
23.838685632973604,7.4645761283626495,8.247815308802137,104.74590861749815,49.472750293811,2.711886081522152,55.11872567436286,sand,medium,12/12,medium,25
26.076166644922488,6.432520108031796,8.058576227808448,64.20455579051908,60.95516335484388,4.7105136069447795,52.85714291545265,sand,high,10/14,medium,40
28.24097530584802,5.452438933266108,7.555921044336165,87.36460744531641,65.89687856822398,2.683054963574055,57.82562399321839,gravel,medium,10/14,medium,30
24.67877021147089,7.8623562925933665,6.149371578337472,57.239874495419976,54.045429482143255,4.455928577699331,53.28136390698727,gravel,low,12/12,low,25
27.38131569914718,7.394791204404313,7.236950443791242,118.40271103444164,49.46488813295332,6.8694219267446845,32.87216385992063,gravel,low,12/12,medium,75
27.23884786740342,6.8166078470072895,7.419498915929178,117.61934751498909,50.40645577796049,2.937742152981939,75.5138810865648,gravel,high,12/12,low,30
26.70623273694357,6.9959478429735436,7.292189156086385,102.39562875608644,38.25629287732445,6.646700266861043,53.84138312444946,glass,medium,12/12,medium,50
24.08981037399566,5.133427899322904,7.191779910890763,92.31446656600455,66.41420630740689,4.3515725940779575,66.63158537587522,sand,high,10/14,high,5
26.03431526924874,5.998216779559662,7.290767807070931,107.70157465387659,50.381508847909494,2.690075777815994,33.305136701929456,sand,high,14/10,medium,60
29.62281550900335,6.447784383285443,7.31213763381485,108.86095107884067,39.4180965690699,2.219767631868951,12.48365728177952,sand,low,10/14,medium,55
26.023351402686625,5.673973529736531,6.81641315191691,39.612973563351765,66.60539627902477,5.343500444027041,24.548713954559144,sand,medium,10/14,low,45
25.447849360643424,5.277677423381629,6.512587355194277,116.59755485089687,63.72697861653451,5.093990935304393,65.06328063634675,gravel,high,14/10,high,5
28.314176987610626,7.011904608723159,7.2050741432197585,118.14430493207944,65.7063612202123,5.229742861601141,38.45631540453837,sand,medium,10/14,low,60
27.702433997928093,7.539022248196417,6.823337896515561,148.3725833795936,46.41594495331419,2.2675752976145267,10.829512932366795,glass,high,12/12,low,55
24.129473512385676,6.460663651399644,6.824359913338711,147.26384073773673,42.01010917566676,3.903590354106436,62.52854013186585,glass,medium,10/14,high,35
29.410056573295854,6.636915516260224,7.186291996365601,46.64917609363209,46.50525309977605,4.515620900091289,62.534282110811645,gravel,medium,12/12,low,20
26.738265218803974,5.161967228127687,6.135078380301126,100.79317292655703,58.82108115128384,2.7525629030284415,16.828212432321905,sand,medium,14/10,low,45
23.741700873669757,7.620480811792159,6.825403855353889,124.17131771359136,54.74893945782742,6.524068508745748,50.01244533801217,sand,high,10/14,medium,20
26.98534461251759,8.125237045859025,7.225731053437588,64.19814611276607,58.325577656102126,3.883090692819718,31.620740404340207,glass,low,12/12,low,80
27.757109577855687,7.48458172004138,6.919048148075844,70.24631209369797,34.463266221247885,5.844099203553899,62.18280780144468,sand,low,14/10,high,55
25.165653722173058,6.805299230478024,7.071429059202091,47.471983496442206,64.88963243677985,3.2278198152515563,29.618076939398073,gravel,low,12/12,low,60
28.241499395497133,5.4312114630182,6.7046519003779785,113.42845147073187,48.66146881900522,4.319746066835207,16.833056993959858,gravel,low,12/12,high,60
26.973208454722087,6.182699630070459,6.934960385825803,145.95221276956332,72.7150032661095,6.509644815888156,58.11286734669364,gravel,high,12/12,high,40
25.324057606755442,5.111081509781235,7.549765219668818,66.00819201450653,48.46234240350046,3.08588013500747,16.2774030854101,sand,medium,14/10,low,55
27.102876552897076,8.274648359477684,7.84644981643513,60.326741861712485,52.597729350236236,5.352223364038969,53.889818511198584,sand,medium,14/10,medium,55
29.388085021897336,5.5410636696417495,6.906039539214738,90.02856615112351,54.49704787384683,6.236722700206943,63.0548372336889,glass,medium,12/12,medium,0
25.375882391694507,5.511202587860491,6.232834710995451,70.99586653760416,53.04840186912591,5.959273013833846,15.818292462107792,sand,medium,10/14,low,30
24.83138121218972,5.8967382566750555,6.733144706167485,102.33778687944177,47.78419054819314,4.954325763274555,65.13909583536143,gravel,low,10/14,medium,15
27.270565389331722,7.707027013935627,8.051914939510192,120.39312814003652,50.06366461860152,3.879986440034126,51.156431599832224,sand,low,12/12,low,50
28.571982466166784,6.07618729928896,6.96131323611931,121.17911342275603,50.06104197472686,5.784266967522448,15.65113836850554,glass,medium,14/10,low,65
28.23175762480864,5.158988009661805,6.845894339736636,147.30540626260924,50.33813811113783,5.535434411944594,62.818867983988426,sand,high,12/12,low,5
26.098343026814092,6.338006399896626,6.274003318168955,50.12322312694825,60.751401396417556,3.664489846121698,15.718604191542648,gravel,medium,10/14,medium,70
27.551366515254834,6.3038966895219035,7.627828641328258,92.43304931275335,37.19796211156518,5.584367065564008,65.07780168018708,glass,high,10/14,medium,20
28.526046363652664,4.6758133698735955,8.034872990785683,70.68232463029483,60.135280914082024,3.872719225630441,47.64577552868951,sand,high,14/10,high,20
27.02598893289411,8.434420515085474,7.4207887010664875,58.523899581283125,50.50007425073702,3.8319804790657668,67.96220026946267,glass,high,12/12,medium,45
27.788342673870957,6.561113076368694,7.085326323962329,97.61520168295532,65.55457836719648,6.993383676897446,38.836058207531984,glass,low,10/14,high,65
31.7852528171717,5.305266981351114,7.601130433692779,59.05564545700233,55.528576233240926,5.716065084017215,22.42473092588282,sand,low,10/14,medium,35
25.798578499224366,6.609544842795132,7.977870857880229,129.0959546785832,62.201190333534434,2.9163891909242037,56.321520147053135,glass,high,14/10,low,10
28.568734709785684,8.848592303992033,6.651274868886788,40.75550313356798,62.421546665686016,4.5163423442150705,42.2284289753877,glass,low,14/10,low,50
29.90329380538715,5.391140589639094,6.268148663905512,72.1496518595538,47.19625919624198,5.316386588001685,65.44212996379424,sand,medium,12/12,high,0
26.05299715059528,6.613979879716795,7.035336774438451,55.56118110446411,58.93346792035687,3.404406155328763,30.478787712795583,glass,medium,10/14,high,90
27.840212851323134,7.506615968060399,6.747517380623789,139.76090815894472,44.10988670254862,2.216624191951841,15.508090152122081,gravel,medium,14/10,high,80
29.145644105015403,9.346180336531196,8.104637049042504,144.50768625085342,38.43341453314381,6.215045222613303,41.668965542121285,sand,medium,12/12,low,15
24.09142510866443,6.660823331386138,6.474978388544869,58.589222241325785,49.484914495282275,4.935460151511117,59.35888337742913,gravel,medium,14/10,low,30
25.67469166355619,6.644512227914444,7.681021942164128,72.42098955106785,69.23334948892631,4.457105531079727,37.845062381751056,gravel,medium,14/10,medium,75
26.204206569083475,6.197738273421599,6.830760896762947,144.38551867138256,33.5081634794013,2.3383689882049894,58.51159639256231,gravel,high,12/12,medium,50
28.127766262917962,7.550155634591841,7.690860811269075,160.01893920672904,38.78550726661714,6.826291451779717,24.975422363696637,glass,high,12/12,high,20
31.764637537360592,6.724105199850102,6.58239617298581,123.86863313950964,58.544076727090186,4.5130694061400085,59.03416402994136,sand,medium,12/12,medium,45
26.754373561699843,6.4165943519962605,7.28318731518366,127.44879473341213,47.38463611685972,5.282484085507705,54.1767046682994,sand,high,12/12,medium,55
27.452376053925306,7.5752433799650065,7.318041073625729,82.00170298278684,57.22817499685365,3.115949567354308,24.626023633657415,gravel,medium,10/14,low,85
28.97825076023028,5.425679650640605,6.631575655502037,140.8530813007928,47.62483456212739,2.04729422876472,31.27920993497461,gravel,low,10/14,high,50
27.927674266299345,7.848931449892188,7.02968392312731,147.87012845944616,43.084950513718354,7.317973986702934,56.01169813955266,sand,low,10/14,high,60
29.792515688427553,7.526278622249262,8.029104948325859,134.75545643572997,65.1353543612355,3.875616151909941,37.8578717188533,glass,high,10/14,high,25
28.7783269143725,7.557025793717585,6.6535953466565445,41.90059656130806,54.35752599700548,3.169717347005369,14.234290505278933,sand,low,12/12,medium,65
26.641348172511915,7.694144545784307,7.519113905545329,49.88644189299355,53.973014358549,6.777502837891435,36.828847690129244,gravel,low,14/10,high,60
28.66701520478267,5.638097377035283,6.373128504337457,146.03761319322444,38.51644491843122,2.7012327061728065,20.922044911574993,glass,medium,10/14,high,30
26.38355602444648,7.382047089081787,6.569080259686844,116.44483006275384,61.855327705406026,3.031754903294751,44.07474136651615,gravel,medium,10/14,high,80
28.422603062204796,6.283120056426086,6.854313468585726,76.57815786747504,48.1738281457591,2.9099189435524315,66.04716652674719,glass,low,10/14,high,40
28.473207893763174,7.519291663789585,7.666416776090378,138.09504011196643,41.13333988732237,6.275025673356079,27.42879000528049,sand,medium,14/10,low,50
28.18009718150104,7.743455640365139,6.790782708438825,127.49858784096124,34.19157617454611,5.278426641311047,35.70404339697483,sand,medium,12/12,medium,60
27.691565042204154,6.183989358421344,7.169038033543699,140.34014688034543,55.998450511142806,4.211711631801957,42.87720174731812,glass,medium,12/12,low,80
26.901344382288954,5.872122197506,6.956241169676928,123.47861570419096,50.74911040888587,5.486734519166553,59.93265748946912,sand,medium,14/10,medium,60
27.58509914601377,5.2140388262026764,7.614856307198767,77.33015164295398,40.1569337484846,5.281408151272968,34.756767587301454,glass,high,14/10,high,45
29.03883402836312,4.461844365266804,6.5255903115512925,134.3634241734509,50.373249099063614,7.423343713159117,51.96636961683972,gravel,medium,12/12,medium,0
25.048259188705217,5.169996275862809,7.99840023369772,52.43079213947193,35.52691404975563,4.329300028412431,37.38474016639214,sand,low,12/12,medium,45
23.830839299379342,5.376955442012207,8.421955333892933,141.11308867420468,52.55058064212888,4.093594869967905,25.25407061408771,sand,low,14/10,low,30
28.471007363346462,5.555083713199632,6.8853466327938735,77.45021419109496,45.54995515596554,3.800063481973157,39.56686716578362,gravel,high,12/12,high,55
29.07662022568904,7.915613436049382,6.982180521477356,121.36647815666043,50.40491249595457,5.202306977600635,37.39395713055075,glass,high,10/14,high,40
